iter	Passed	Remaining
682	51392	23852
683	51458	23773
684	51510	23687
685	51575	23607
686	51642	23528
687	51713	23451
688	51783	23374
689	51844	23292
690	51904	23210
691	51965	23129
692	52029	23049
693	52085	22965
694	52149	22885
695	52213	22805
696	52285	22729
697	52362	22655
698	52425	22575
699	52485	22493
700	52558	22417
701	52627	22340
702	52695	22262
703	52762	22184
704	52818	22101
705	52888	22024
706	52945	21942
707	53007	21861
708	53081	21786
709	53144	21706
710	53200	21624
711	53265	21545
712	53333	21468
713	53395	21388
714	53459	21308
715	53525	21230
716	53586	21150
717	53645	21069
718	53719	20994
719	53785	20916
720	53865	20843
721	53932	20766
722	53997	20687
723	54080	20616
724	54156	20542
725	54238	20470
726	54308	20393
727	54371	20314
728	54436	20236
729	54503	20158
730	54578	20084
731	54645	20006
732	54727	19934
733	54809	19862
734	54881	19787
735	54955	19712
736	55040	19641
737	55131	19572
738	55264	19518
739	55335	19442
740	55408	19366
741	55472	19288
742	55540	19211
743	55592	19128
744	55654	19049
745	55726	18973
746	55789	18895
747	55852	18816
748	55906	18735
749	55966	18655
750	56029	18577
751	56091	18498
752	56154	18419
753	56221	18342
754	56284	18264
755	56350	18187
756	56417	18110
757	56478	18031
758	56539	17952
759	56606	17875
760	56670	17798
761	56737	17721
762	56805	17644
763	56876	17569
764	56956	17496
765	57036	17423
766	57097	17345
767	57159	17266
768	57227	17190
769	57304	17116
770	57379	17042
771	57447	16966
772	57511	16888
773	57575	16811
774	57629	16731
775	57695	16654
776	57762	16577
777	57830	16501
778	57899	16425
779	57958	16347
780	58018	16269
781	58078	16190
782	58143	16113
783	58209	16037
784	58277	15961
785	58342	15884
786	58408	15808
787	58474	15731
788	58538	15654
789	58595	15576
790	58660	15499
791	58722	15422
792	58790	15346
793	58849	15268
794	58913	15191
795	58971	15113
796	59043	15038
797	59110	14962
798	59180	14887
799	59252	14813
800	59310	14735
801	59374	14658
802	59443	14583
803	59503	14505
804	59568	14429
805	59630	14352
806	59696	14276
807	59752	14198
808	59822	14123
809	59889	14048
810	59947	13970
811	60009	13893
812	60068	13816
813	60132	13740
814	60197	13664
815	60259	13587
816	60341	13515
817	60401	13438
818	60473	13364
819	60538	13288
820	60604	13213
821	60674	13138
822	60774	13070
823	60856	12998
824	60935	12925
825	61022	12854
826	61150	12792
827	61218	12716
828	61285	12641
829	61349	12565
830	61406	12488
831	61485	12415
832	61549	12339
833	61620	12264
834	61696	12191
835	61760	12115
836	61841	12043
837	61920	11970
838	61995	11896
839	62078	11824
840	62158	11751
841	62228	11677
842	62303	11603
843	62368	11527
844	62430	11451
845	62493	11375
846	62561	11300
847	62630	11226
848	62694	11150
849	62781	11079
850	62882	11010
851	62980	10940
852	63137	10880
853	63220	10808
854	63319	10738
855	63409	10667
856	63495	10594
857	63565	10520
858	63647	10447
859	63730	10374
860	63819	10302
861	63905	10230
862	63985	10157
863	64061	10083
864	64139	10010
865	64206	9934
866	64277	9860
867	64373	9789
868	64457	9716
869	64525	9641
870	64585	9565
871	64656	9490
872	64728	9416
873	64793	9340
874	64859	9265
875	64917	9189
